startup_id,startup_name,description,tags
startup_0221e174296,Filmygyan,You know when you forward a filmy meme most of the time Filmygyan is mostly behind them. They are one innovative set of people making our lives masaledaar!,"You know when you forward a filmy meme most of the time Filmygyan is mostly behind them. They are one innovative set of people making our lives masaledaar! Bollywood Review, movie review, entertainment. Funny, laugh, happy, show, meme."
startup_049027ac21d,Sumeru,"Providing solutions in Banking, Software and many more. Sumeru is your go to organisation for IT solutions with a human touch.

","Providing solutions in Banking, Software and many more. Sumeru is your go to organisation for IT solutions with a human touch. IT, Banking, Finance, FinTech, Software, Technology.

"
startup_07b7f23419d,Mobiefit,"Mobiefit motivates you to get fitter, healthier and a happier person with workouts, running and walking training. It enables its users to access training videos and exercises for a 'fitter you'!","Mobiefit motivates you to get fitter, healthier and a happier person with workouts, running and walking training. It enables its users to access training videos and exercises for a 'fitter you'! Exercises, running, jogging, fittness, stronger, stamina, Healthier"
startup_08971b04e3a,Smaaash Entertainment Pvt. Ltd.,A fun-filled space with high - class technological games to entertain youngsters and adults equally!,"A fun-filled space with high - class technological games to entertain youngsters and adults equally! play, technology, age, creativity, enjoy, happy, recreation, activity, technology for fun.,fun,yongsters,games"
startup_128f4e34887,HipCask,"Hipcask is a smartphone application that enables users to discover wines, whiskies, and beers. The application enables users to measure a likability factor, pair wines with foods, get and add tasting notes, get notifications about new launches, and more. beverages, drinkable, app, sip, enjoy, pair","Hipcask is a smartphone application that enables users to discover wines, whiskies, and beers. The application enables users to measure a likability factor, pair wines with foods, get and add tasting notes, get notifications about new launches, and more. Sommelier, Food critic"
startup_129b01b099e,ftcash,"ftcash is one of IndiaÍs fast-growing financial technology venture, recognized by Forbes, which aims to empower micro-merchants and small businesses with the power of credit using digital payments, using only a bank account and a feature phone, technology ","ftcash is one of IndiaÍs fast-growing financial technology venture, recognized by Forbes, which aims to empower micro-merchants and small businesses with the power of credit using digital payments, using only a bank account and a feature phone.financial technology,credit,mobile"
startup_1c057cbeac3,Netmeds.com,Known as Indian's most trusted pharmacy Netmeds.com is a renowned name in the medical field. It enables the user to send or receive medicine from any part of India.,"Known as Indian's most trusted pharmacy Netmeds.com is a renowned name in the medical field. It enables the user to send or receive medicine from any part of India. Medical, doctor, health"
startup_1e2a7dc8110,OncoStem Diagnostics,OncoStem Diagnostics was founded in 2011 with the vision of developing innovative multimarker prognostic & predictive tests to enable personalized treatment planning for patients with Cancer.,"OncoStem Diagnostics was founded in 2011 with the vision of developing innovative multimarker prognostic & predictive tests to enable personalized treatment planning for patients with Cancer. Medical, cancer, cells, disease, hazardous, health."
startup_258b66dcf51,Boxx.Ai,"Seeing that Artificial Intelligence is the future, Boxx.ai uses the same technology to solve problems that enterprises face in a more affordable way, making it more accessible for all. With all this securing a place amongst the top startups in India. AI, technology, code, future technology, problems, top , startups, friendly AI, cheaper, ","Seeing that Artificial Intelligence is the future, Boxx.ai uses the same technology to solve problems that enterprises face in a more affordable way, making it more accessible for all. With all this securing a place amongst the top startups in India, AI, technology, innovation, ease of access."
startup_2f4aa8e859b,HexOctane,HexOctane is an Internet of Things company intending toæcreate an environment which fosters ease of access to relevant information just when you need it and thus bring to life an informed sixth sense that manifests itself through one's smartphone.,HexOctane is an Internet of Things company intending toæcreate an environment which fosters ease of access to relevant information just when you need it and thus bring to life an informed sixth sense that manifests itself through one's smartphone.
startup_30cf33991de,Fingerlix,"Making finger - licking homely food, Fingerlix aims on being 'the food' for travelling professionals and fill stomachs of people with tasty food.","Making finger - licking homely food, Fingerlix aims on being 'the food' for travelling professionals and fill stomachs of people with tasty food. Eating, delivery, meal, delicious, tasty, enjoyable."
startup_35e0b47ed5f,Eatigo,With a sole aim of connecting empty stomachs with empty tables by giving discounts on meals in the restaurants registered with them. Eatigo has successfully has partnered with more than a million diners. Way to go!,"With a sole aim of connecting empty stomachs with empty tables by giving discounts on meals in the restaurants registered with them. Eatigo has successfully has partnered with more than a million diners. Way to go! Eatery, Food, Delivery, Fun, Delicious."
startup_3ae62eea4d3,Noticeboard,"Noticeboard is focused on leveraging the power of the mobile phone to make information more accessible, and will be looking for top talent that understands the nuances of the small screen deeply. It aims making organisational communication more inclusive.","Noticeboard is focused on leveraging the power of the mobile phone to make information more accessible, and will be looking for top talent that understands the nuances of the small screen deeply. It aims making organisational communication more inclusive, "
startup_3b9515728be,Koinex,"Koinex is India's most advanced digital assets exchange. Buy, sell and trade in the world's fastest growing assets: cryprocurrencies and tokens.","Koinex is India's most advanced digital assets exchange. Buy, sell and trade in the world's fastest growing assets: cryptocurrencies and tokens. Crypto, merchant, encrytion, blockchain, security, money, financial, safe, locked."
startup_3bcb7c56f87,Innov8,"Innov8 is an ambitious project to house 100 entrepreneurs & help them build their vision & create impactful startups from the National Soil

","Innov8 is an ambitious project to house 100 entrepreneurs & help them build their vision & create impactful startups from the National Soil

"
startup_3d04d4656c3,Doctor Insta,Want to meet your doctor but are too sick to get out of bed? Doctor Insta is at your service. Video Call or chat with a doctor to get an advice on your health!,Want to meet your doctor but are too sick to get out of bed? Doctor Insta is at your service. Video Call or chat with a doctor to get an advice on your health!
startup_3eeca45bc90,Ask Arvi,Finding a right insurance is like finding a right partner for yourself. AskArvi has done a great job in automating this system letting people find a perfect plan from their phones itself! This idea definitely makes them one of the best startups in India,Finding a right insurance is like finding a right partner for yourself. AskArvi has done a great job in automating this system letting people find a perfect plan from their phones itself! This idea definitely makes them one of the best startups in India
startup_3fe1ea0b539,HandyTrain,A startups biggest challenge is to train its employees. HandyTrain trains them for you from your employees phones! Simple and smart right?,A startups biggest challenge is to train its employees. HandyTrain trains them for you from your employees phones! Simple and smart right?
startup_437d869e0b3,GoCoop,"GoCoop.com is a internet-based global platform which provides value-added business services for co-ops and self-help groups to enable communication and collaboration with their members, marketing their products and services and leverage information technology to improve their operations.","GoCoop.com is a internet-based global platform which provides value-added business services for co-ops and self-help groups to enable communication and collaboration with their members, marketing their products and services and leverage information technology to improve their operations."
startup_4b23e056fd9,iNurture,"iNurture Education Solutions Pvt. Ltd. delivers industry relevant courses at undergraduate and postgraduate levels in the fast growing sectors of the economy, in active association with well-reputed universities and autonomous institutions/ colleges.","iNurture Education Solutions Pvt. Ltd. delivers industry relevant courses at undergraduate and postgraduate levels in the fast growing sectors of the economy, in active association with well-reputed universities and autonomous institutions/ colleges."
startup_501347dae2a,OpenOut,"OpenOut is a trusted community of people, hosts and guests, where you can create, explore or become a part of unique at-home social experiences.","home,entertainment,party,get togethers,social,fun,recreation,refreshment"
startup_514b7e9f6e6,HalaPlay,"Gaming turning into money-making! Yes, you read it right.HalaPlay can let you live in the fantasy world and win cash prizes at the end of every game making it among the best startups in India.","gaming, entertainment, fun, sports, indoor, virtual reality"
startup_5349d6c5e0c,Sequretek,Sequretek intends to secure and manage the customers information assets so that they are better equipped to handle the changing digital landscape and service needs that lead to their organizational growth. It aims on being its customers 'Trusted Advisor' for their problems,Sequretek intends to secure and manage the customers information assets so that they are better equipped to handle the changing digital landscape and service needs that lead to their organizational growth. It aims on being its customers 'Trusted Advisor' for their problems
startup_5377381aa1e,Money View,"Imagine knowing your money status with the help of your SMS-es, Money View shows your account details by accessing your bank messages and showing your balance!

","banking,bank information,sms service,service,updation, communication
"
startup_54e691b2e0e,Active.ai,"In the age of technology, Active.ai makes it possible giving a beautiful human touch to Conversational Banking Services. They have made it possible to make conversations less robotic and consumer oriented making the doubt solving process more simpler!","addressal,queries,banking,services,human touch,automated,questions"
startup_565a20e6211,coworks,"In the business city of Bangalore, CoWrks is a unique concept providing many working individuals to come and rent working spaces for themselves. Pssstt.. they have an amazing interior worth being listed as one of the top startups in India!","rental,office,office space,rent,interiors,space,housing,renting,lease"
startup_58ea6d8b492,NiYo Solutions,Want your employees salaries increased without any change in your share? NiYo can give you a solution! Redefine Payroll & benefits and give your employees upto 10% Pay raise.,"employee management, payroll, payroll management, salary, employee, working class"
startup_626fc93dc6a,Chimple Learning,Imagine how fun it would be learning via games and stories? Chimple is doing the same! This Bangalore based organisation believes that education is for all is doing everything to achieve their goal.,"fun learning, interactive learning, education, games, education, games and education"
startup_6ac1261a446,Boltt Sports,How great would it be if you could increase your work out speed and also track your progress? Kishore duo has made it possible my merging fitness with technology to make lives healthier for all and successfully made into the list of one of the best startups in India!,"fitness,health,workout,workout speed,technology,monitoring,health monitoring, fitness monitoring, health benefits"
startup_6dcc97cbf7bf,9Stacks,"Bringing alive the classic poker on-screen, 9Stacks is a unique concept binding all the Poker lovers together under one roof to start the game with 9 stacks of poker chips!","poker,poker online,games,gaming,entertainment, fun,recreation"
startup_6eb76f323c3,Terribly Tiny Tales,"Weaving magic with words, Terribly Tiny Tales is a forum for story enthusiasts and making a community of word lovers!","words,writing,poetry,stories,authors, writing platform, short stories"
startup_7213abde43e,Dunzo,"Being a God-sent application for Bangalore-ians and Pune-kars, Dunzo runs errands for its users. Be it repairing your sink or sending a parcel off, you can just Dunzo-it! Waiting for it for available nationwide! But whatever it is, they surely deserve to be one of the best startups in India

","services,repairing,courier, home services
"
startup_75f2cebe20e,CallHealth,CallHealth is a technology-powered healthcare company that brings healthcare services to the doorstep of the customer. Definitely worth being as one of the best startups in India.,"health,fitness,doorstep,doorstep services,services,online health"
startup_795e8d2f1bd,Fynd,"Seeing Fashion online, Fynd is dedicated to make its users chic and sexy!","fashion, beauty, women, ecommerce, digital marketplace, marketplace, website"
startup_7d25b37d798,Hansel.io,"With clients like Ola, PayTM, MobiKwick, ClearTrip and many more, Hansel.io is a trusted name in deep-config APIs. Delivering what they promise, Hansel.io is an expert in providing personalized experience for all its client base!","With clients like Ola, PayTM, MobiKwick, ClearTrip and many more, Hansel.io is a trusted name in deep-config APIs. Delivering what they promise, Hansel.io is an expert in providing personalized experience for all its client base!"
startup_7e7e947b210,Homergize,"Building a home has never been easier, thanks to Homergize! Homergize is a One-Stop Shop for purchasing Materials & Products ranging from Building Materials to Fittings to Furnishings.","Building a home has never been easier, thanks to Homergize! Homergize is a One-Stop Shop for purchasing Materials & Products ranging from Building Materials to Fittings to Furnishings."
startup_80e57982848,Biryani By kilo,"Targeting India's most favorite food Biryani, this company has reached in the veins of maximum people. Biryani by Kilo does what the name suggests, sends happiness parceled and is perfect for any occasion. Guess what? It a rating of 4.0 on Zomato. Yummy idea!","Targeting India's most favorite food Biryani, this company has reached in the veins of maximum people. Biryani by Kilo does what the name suggests, sends happiness parceled and is perfect for any occasion. Guess what? It a rating of 4.0 on Zomato. Yummy idea! food "
startup_84dee75e130,Mr Button,"Made for Indian men, Mr Button was an idea to make Indian men fashionable and presentable!","Made for Indian men, Mr Button was an idea to make Indian men fashionable and presentable!"
startup_8559eb7766c,GoFro,"Love travelling? GoFro should be your best friend! Started to empower the modern traveler with flexibility of choices and a fulfilling sense of independence, GoFro is doing a splendid job!","Love travelling? GoFro should be your best friend! Started to empower the modern traveler with flexibility of choices and a fulfilling sense of independence, GoFro is doing a splendid job!"
